"StationID","SampleDate","SampleDepth","QABatch","Matrix","Dilution","Concentration","ConcentrationUnits","TimePoint","Parameter","Qualifier","Value","ValueUnits","LabRep","LabCode","Comments","SampleType"
"GS00",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"DO","None","9.22","MG/L",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"DO","None","10.27","MG/L",1,"CLAEMD",,"QA"
"GS00",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"NH3T","None","1.37","MG/L",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"NH3T","None","0.38","MG/L",1,"CLAEMD",,"QA"
"GS00",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"NH3U","None","0.069","MG/L",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"NH3U","None","0.025","MG/L",1,"CLAEMD",,"QA"
"GS00",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"SAL","None","32","PPT",1,"CLAEMD",,"QA"
"GS00",7/25/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",10.00,"SAL","None","32","PPT",1,"CLAEMD",,"QA"
"GS00",7/15/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",0.00,"PH","None","8.37","PH",1,"CLAEMD",,"QA"
"GS00",7/16/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",1.00,"PH","None","8.29","PH",1,"CLAEMD",,"QA"
"GS00",7/17/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",2.00,"PH","None","8.28","PH",1,"CLAEMD",,"QA"
"GS00",7/18/2008 0:00:00,,"B0807071batch1a.E","OL",-99.00,-99.00,"NR",3.00,"PH","None","8.42","PH",1,"CLAEMD",,"QA"
