"B08Component","SampleType","B08_StationID","NominalLongitude","Orig_Survey","StratumB08","StratumB08_Actual","Region","RHMP","RHMP_stratum","RHMP_name","SD_Intense","PanelStatus","Abandoned","EvalStatus","EvalCode","EvalCodeReason","Replaced_ID","Replacement_ID","counter","sumTS","sumTNS","sumNT","sumNN","DisjointPolygonArea","DisjPolyArea_Adj","DisjPolyArea_AdjB","areawt_Unadj","areawt_Unadj4FRAMEERROR","areawt_Adj","areawt_AdjB","AREAWT_Final","GIS_Area_sqkm","FinalEstStratumArea","AdditionalComments","SCCWRP_SiteID","Orig_StationID","FinalPanel","MSPanel","Filename","EvalCode2","EvalCode2Reason","SampleLatitude","SampleLongitude","SampleDepth","InDepthRange","Region_Code","SD_CoPer_Lagoon","SD_Lagoon_Name","BenthicStation","SedGrabAttempt","SuccessSedGrab","SedGrabFailCode","SedGrabFailReason","SuccessBenthic","SumDisjPoly","SumDisjPolyArea_Adj","LastChangeDate","ToxicityStation","SuccessTox","CounterB","BsumTS","BsumTNS","BsumNT","BsumNN","areawt_FINALB","sameweight","adjust","Comments","AnalysisLatitude","AnalysisLongitude","AnalysisDepth"
"Coastal Ecology","Toxicity","6383",-118.26,"B08","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",1.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"Bight08_SiteID-0118",6383.00,"B08_NSD_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",33.70,-118.26,5.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",1.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.70,-118.26,4.00
"Coastal Ecology","Toxicity","6384",-118.26,"B08","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",2.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"Bight08_SiteID-0054",6384.00,"B08_NSD_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",33.70,-118.26,5.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:20,"Y","Y",2.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.70,-118.26,5.00
"Coastal Ecology","Toxicity","6386",-118.25,"B03","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",3.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"MSBight03-4178",4178.00,"B03_NSD_TCB_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",33.71,-118.25,15.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",3.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.71,-118.25,16.00
"Coastal Ecology","Toxicity","6387",-118.24,"B98","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",4.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"MSBight98-019",2162.00,"B98_NSD_TCB_Panel_1","MSB98Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",33.71,-118.24,24.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",4.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.71,-118.24,23.00
"Coastal Ecology","Toxicity","6404",-118.22,"B03","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",5.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"MSBight03-4242",4242.00,"B03_NSD_TCB_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",33.72,-118.22,18.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",5.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.72,-118.22,17.00
"Coastal Ecology","Toxicity","6407",-118.15,"B08","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",6.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"Bight08_SiteID-0106",6407.00,"B08_NSD_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",33.72,-118.15,15.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",6.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.72,-118.15,15.00
"Coastal Ecology","Toxicity","6411",-118.15,"B03","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",7.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"MSBight03-4274",4274.00,"B03_NSD_TCB_Panel_1","MSB03Panel_1","B03_and_B98_Panel1_043008.shp","TS","Targetted Sampled",33.72,-118.15,15.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",7.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.72,-118.15,17.00
"Coastal Ecology","Toxicity","6416",-118.22,"B08","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",8.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"Bight08_SiteID-0046",6416.00,"B08_NSD_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",33.73,-118.22,17.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",8.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.73,-118.22,12.00
"Coastal Ecology","Toxicity","6432",-118.18,"B08","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",9.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"Bight08_SiteID-0062",6432.00,"B08_NSD_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",33.73,-118.18,17.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",9.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.73,-118.17,17.00
"Coastal Ecology","Toxicity","6436",-118.13,"B08","Bay","Bay","Los Angeles/Long Beach","N","NA","NA","N","Panel1",0,"Eval","TS","Targetted Sampled",,"NA",10.00,16.00,0.00,0.00,0.00,32.66,32.66,32.66,2.04,2.04,2.04,2.04,2.04,70.00,70.00,,"Bight08_SiteID-0058",6436.00,"B08_NSD_Panel_1","NA","Bight08_Sites_04222008.shp","TS","Targetted Sampled",33.73,-118.13,8.00,"Y","2","N","NA",,"Y","Y","None","No Failure","Y",70.00,70.00,1/13/2010 18:25:21,"Y","Y",10.00,16.00,0.00,0.00,0.00,2.04,"Y","N",,33.73,-118.13,8.00
