"StationID","SampleDepth","SampleDepthUnits","SampleDate","SampleTime","SampleTimeUnits","SamplingOrganization","GearCode","Latitude","Longitude","Datum","Penetration","PenetrationUnits","Color","Composition","Odor","ShellHash","BenthicInfauna","SedimentChemistry","Toxicity","GrainSize","GrabFailCode","DistanceToTarget","Comments"
"3001",106.00,"M",10/16/2003 0:00:00,"1141","PDT","MEC","VV",33.36,-118.30,"NAD83",8.00,"CM","Brown","Fine Sand","None",1,0,1,0,1,"None",22,""
"3001",106.00,"M",10/16/2003 0:00:00,"1156","PDT","MEC","VV",33.36,-118.30,"NAD83",8.00,"CM","Brown","Fine Sand","None",1,1,0,0,0,"None",65,""
"4000",34.00,"M",7/21/2003 0:00:00,"1301","PDT","CSD","VV",32.55,-117.19,"NAD83",7.00,"CM","Olive Green","Fine Sand","None",0,1,0,0,0,"None",-99,
"4000",34.00,"M",7/21/2003 0:00:00,"1306","PDT","CSD","VV",32.55,-117.20,"NAD83",-99.00,"NR","NR","NR","NR",0,0,0,0,0,"A",-99,
"4000",34.00,"M",7/21/2003 0:00:00,"1312","PDT","CSD","VV",32.55,-117.19,"NAD83",6.00,"CM","Olive Green","Fine Sand","None",0,0,1,0,1,"None",-99,"Transcription error longitude should be 11.xxx."
"4000",34.00,"M",7/21/2003 0:00:00,"1320","PDT","CSD","VV",32.55,-117.19,"NAD83",-99.00,"NR","NR","NR","NR",0,0,0,0,0,"Other",-99,"Misfire; Transcription error longitude should be 1"
"4000",34.00,"M",7/21/2003 0:00:00,"1322","PDT","CSD","VV",32.55,-117.19,"NAD83",-99.00,"NR","NR","NR","NR",0,0,0,0,0,"Other",-99,"Misfire"
"4000",34.00,"M",7/21/2003 0:00:00,"1326","PDT","CSD","VV",32.55,-117.19,"NAD83",7.50,"CM","Olive Green","Fine Sand","None",0,0,1,1,0,"None",-99,
"4000",34.00,"M",7/21/2003 0:00:00,"1333","PDT","CSD","VV",32.55,-117.19,"NAD83",7.00,"CM","Olive Green","Fine Sand","None",0,0,1,1,0,"None",-99,"Transcription error longitude should be 11.xxx."
"4001",792.00,"M",7/19/2003 0:00:00,"1807","PDT","CINMS","TVV",33.31,-118.15,"NAD83",16.00,"CM","Olive Green","Silt/Clay","None",0,1,1,0,1,"None",-99,"slight shell debris; in water 18:08; at bottom 18 "
"4002",2.50,"M",7/29/2003 0:00:00,"1307","PST","MBC","VV",33.75,-118.10,"NAD83",7.00,"CM","Brown","Fine Sand","None",0,1,0,0,0,"None",8,
"4002",2.50,"M",7/29/2003 0:00:00,"1316","PST","MBC","VV",33.75,-118.10,"NAD83",7.50,"CM","Brown","Fine Sand","None",0,0,1,0,1,"None",8,
"4002",2.30,"M",7/29/2003 0:00:00,"1326","PST","MBC","VV",33.75,-118.10,"NAD83",-99.00,"NR","NR","NR","NR",0,0,0,0,0,"E",8,
"4002",2.50,"M",7/29/2003 0:00:00,"1330","PST","MBC","VV",33.75,-118.10,"NAD83",-99.00,"NR","NR","NR","NR",0,0,0,0,0,"E",9,
"4002",2.10,"M",7/29/2003 0:00:00,"1337","PST","MBC","VV",33.75,-118.10,"NAD83",11.50,"CM","Brown","Fine Sand","None",1,0,1,1,1,"None",14,
"4002",2.30,"M",7/29/2003 0:00:00,"1348","PST","MBC","VV",33.75,-118.10,"NAD83",-99.00,"NR","NR","NR","NR",0,0,0,0,0,"E",13,
"4002",2.10,"M",7/29/2003 0:00:00,"1352","PST","MBC","VV",33.75,-118.10,"NAD83",11.00,"CM","Brown","Fine Sand","None",0,0,0,1,0,"None",10,
"4002",2.10,"M",7/29/2003 0:00:00,"1402","PST","MBC","VV",33.75,-118.10,"NAD83",8.50,"CM","Brown","Fine Sand","None",0,0,0,1,0,"None",9,"samples also used for TIE"
"4002",2.30,"M",7/29/2003 0:00:00,"1411","PST","MBC","VV",33.75,-118.10,"NAD83",-99.00,"NR","NR","NR","NR",0,0,0,0,0,"C",7,"shells in jaw"
"4002",2.30,"M",7/29/2003 0:00:00,"1414","PST","MBC","VV",33.75,-118.10,"NAD83",13.00,"CM","Brown","Fine Sand","None",0,0,0,0,0,"None",9,"sample used for TIE"
"4003",15.20,"M",7/22/2003 0:00:00,"1545","PDT","ABC","VV",34.12,-119.19,"NAD83",7.00,"CM","Brown","Fine Sand","None",0,1,0,0,0,"None",12,
"4003",15.30,"M",7/22/2003 0:00:00,"1548","PDT","ABC","VV",34.12,-119.19,"NAD83",-99.00,"NR","NR","NR","NR",0,0,0,0,0,"C",11,
"4003",15.20,"M",7/22/2003 0:00:00,"1552","PDT","ABC","VV",34.12,-119.19,"NAD83",-99.00,"NR","NR","NR","NR",0,0,0,0,0,"C",12,
"4003",15.20,"M",7/22/2003 0:00:00,"1553","PDT","ABC","VV",34.12,-119.19,"NAD83",6.00,"CM","Brown","Fine Sand","None",0,0,1,0,1,"None",17,
"4004",149.00,"M",7/22/2003 0:00:00,"0923","PDT","CSD","VV",32.66,-117.34,"NAD83",13.50,"CM","Olive Green","Fine Sand","None",0,1,0,0,0,"None",-99,
"4004",149.00,"M",7/22/2003 0:00:00,"0938","PDT","CSD","VV",32.66,-117.34,"NAD83",12.00,"CM","Olive Green","Fine Sand","None",0,0,1,0,1,"None",-99,
"4004",149.00,"M",7/22/2003 0:00:00,"0951","PDT","CSD","VV",32.66,-117.34,"NAD83",15.00,"CM","Olive Green","Fine Sand","None",0,0,1,1,0,"None",-99,
"4005",830.00,"M",7/21/2003 0:00:00,"0432","PDT","CINMS","TVV",33.93,-118.89,"NAD83",16.00,"CM","Brown","Silt/Clay","None",0,1,1,0,1,"None",-99,"lots of clay;in water 4:34; at bottom 17 min; at s"
"4006",60.00,"M",7/21/2003 0:00:00,"0937","PDT","CLAEMD","VV",33.86,-118.44,"NAD83",7.00,"CM","Olive Green","Fine Sand","None",0,1,0,0,0,"None",40,
"4006",60.00,"M",7/21/2003 0:00:00,"0947","PDT","CLAEMD","VV",33.86,-118.44,"NAD83",4.00,"CM","Olive Green","Fine Sand","None",0,0,0,0,0,"None",20,"SedChem and Grainsize resampled on 8/25/03. TOC was done."
"4006",60.00,"M",7/21/2003 0:00:00,"0956","PDT","CLAEMD","VV",33.86,-118.44,"NAD83",7.50,"CM","Olive Green","Fine Sand","None",0,0,0,1,0,"None",40,
"4006",60.00,"M",7/21/2003 0:00:00,"1003","PDT","CLAEMD","VV",33.86,-118.44,"NAD83",8.00,"CM","Olive Green","Fine Sand","None",0,0,0,1,0,"None",40,
"4006",60.00,"M",8/25/2003 0:00:00,"0906","PDT","CLAEMD","VV",33.86,-118.44,"NAD83",2.00,"CM","Olive Green","Mixed","None",0,0,1,0,1,"None",7910,
"4007",430.00,"M",8/24/2003 0:00:00,"1011","PST","MBC","TVV",34.36,-120.01,"NAD83",18.00,"CM","Brown","Silt/Clay","None",0,1,1,1,1,"None",93,
"4007",439.00,"M",8/24/2003 0:00:00,"1056","PST","MBC","TVV",34.36,-120.00,"NAD83",18.00,"CM","Brown","Silt/Clay","None",0,0,0,1,0,"None",87,
"4008",0.60,"M",7/28/2003 0:00:00,"1107","PDT","MEC","VV",33.22,-117.41,"NAD83",13.00,"CM","Brown","Mixed","Humic",0,1,0,0,0,"None",27,
"4008",0.60,"M",7/28/2003 0:00:00,"1114","PDT","MEC","VV",33.22,-117.41,"NAD83",13.00,"CM","Brown","Mixed","Humic",0,0,1,1,1,"None",29,
"4008",0.60,"M",7/28/2003 0:00:00,"1128","PDT","MEC","VV",33.22,-117.41,"NAD83",13.00,"CM","Brown","Mixed","Humic",0,0,0,1,0,"None",35,
