"StationID","SampleDate","ArrivalTime","ArrivalTimeUnits","SamplingOrganization","SampleType","Vessel","NavType","Salinity","WeatherCode","WindSpeed","WindSpeedUnits","WindDirection","SwellHeight","SwellHeightUnits","SwellPeriod","SwellDirection","SeaState","StationFailCode","Abandoned","Comments"
"3001",10/8/2003 0:00:00,"1034","PDT","VRG","Trawl","Vantuna","GPS",-99.00,"Partly Cloudy",4,"KTS","NW",1,"FT",14,"W","Calm","None",0,
"3001",10/8/2003 0:00:00,"1034","PDT","VRG","WQ","Vantuna","GPS",-99.00,"Partly Cloudy",4,"KTS","NW",1,"FT",14,"W","Calm","None",0,
"3001",10/16/2003 0:00:00,"0945","PDT","MEC","Grab","Enchanter IV","DGPS",,"Partly Cloudy",2,"KTS","NW",1,"FT",18,"W","Calm","None",0,
"4000",7/21/2003 0:00:00,"1300","PDT","CSD","Grab","Metro","DGPS",,"Overcast",12,"KTS","W",3,"FT",11,"NW","Choppy","None",0,"Grabs 3 and 7 had transcription errors for the longitude."
"4000",7/22/2003 0:00:00,"1208","PDT","CSD","Trawl","Monitor III","DGPS",,"Overcast",8,"KTS","SE",10,"FT",9,"W","Calm","None",0,"Station depth 33 m Lotek time: 13 min"
"4001",7/19/2003 0:00:00,"1807","PDT","CINMS","Grab","McArthur II","DGPS",,"Overcast",2,"KTS","NW",3,"FT",4,"NW","Calm","None",0,"in water 18:08; at bottom 18 min; at surface 18:48; total 40 min; slight shell debris"
"4002",7/29/2003 0:00:00,"1300","PST","MBC","Grab","Portunus","DGPS",33.00,"Clear",7,"KTS","SW",0,"M",0,"XX","Calm","None",0,
"4003",7/22/2003 0:00:00,"1544","PDT","ABC","Grab","Hey Jude","DGPS",,"Partly Cloudy",9,"KTS","SW",4,"FT",10,"SW","Choppy","None",0,
"4003",7/22/2003 0:00:00,"1558","PDT","ABC","Trawl","Hey Jude","DGPS",,"Partly Cloudy",8,"KTS","SW",4,"FT",10,"SW","Choppy","None",0,
"4004",7/22/2003 0:00:00,"0921","PDT","CSD","Grab","Metro","DGPS",,"Fog",7,"KTS","NW",3,"FT",12,"NW","Calm","None",0,
