"QABatch","LabCode","Species","Protocol","TestDate","Matrix","TestDuration","TestDurationUnits","Temperature","TemperatureUnits","TestAcceptability","Comments"
"1","ABC","EE","EPA 1994",7/29/2003 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"10","ABC","EE","EPA 1994",9/23/2003 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"11","ABC","EE","EPA 1994",9/29/2003 0:00:00,"RT",4.00,"Days",15.00,"C","A",
"2","ABC","EE","EPA 1994",8/1/2003 0:00:00,"RT",4.00,"Days",15.00,"C","A",
"3","ABC","EE","EPA 1994",8/1/2003 0:00:00,"RT",4.00,"Days",15.00,"C","A",
"4","ABC","EE","EPA 1994",8/26/2003 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"5","ABC","EE","EPA 1994",8/27/2003 0:00:00,"RT",4.00,"Days",15.00,"C","A",
"6","ABC","EE","EPA 1994",9/2/2003 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"7","ABC","EE","EPA 1994",9/8/2003 0:00:00,"RT",4.00,"Days",15.00,"C","A",
"8","ABC","EE","EPA 1994",9/9/2003 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"9","ABC","EE","EPA 1994",9/15/2003 0:00:00,"RT",4.00,"Days",15.00,"C","A",
"Batch 1","MEC","EE","EPA 1994",7/25/2003 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"Batch 1 RFCD","MEC","EE","EPA 1994",7/25/2003 0:00:00,"OL",4.00,"Days",15.00,"C","A",
"Batch 1 RFNH3","MEC","EE","EPA 1994",7/25/2003 0:00:00,"OL",4.00,"Days",15.00,"C","A",
"Batch 10","MEC","EE","EPA 1994",8/29/2003 0:00:00,"BS",10.00,"Days",15.00,"C","Q","1 control replicate had < 80% survival."
"Batch 10 RFCD","MEC","EE","EPA 1994",8/29/2003 0:00:00,"OL",4.00,"Days",15.00,"C","A",
"Batch 10 RFNH3","MEC","EE","EPA 1994",8/29/2003 0:00:00,"OL",4.00,"Days",15.00,"C","A",
"Batch 11","MEC","EE","EPA 1994",9/5/2003 0:00:00,"BS",10.00,"Days",15.00,"C","Q","1 control replicate had < 80% survival."
"Batch 11 RFCD","MEC","EE","EPA 1994",9/5/2003 0:00:00,"OL",4.00,"Days",15.00,"C","A",
"Batch 11 RFNH3","MEC","EE","EPA 1994",9/5/2003 0:00:00,"OL",4.00,"Days",15.00,"C","D",
"Batch 12","MEC","EE","EPA 1994",9/16/2003 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"Batch 12 RFCD","MEC","EE","EPA 1994",9/16/2003 0:00:00,"OL",4.00,"Days",15.00,"C","A",
"Batch 12 RFNH3","MEC","EE","EPA 1994",9/16/2003 0:00:00,"OL",4.00,"Days",15.00,"C","A",
"Batch 13","MEC","EE","EPA 1994",9/26/2003 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"Batch 13 RFCD","MEC","EE","EPA 1994",9/26/2003 0:00:00,"OL",4.00,"Days",15.00,"C","A",
"Batch 13 RFNH3","MEC","EE","EPA 1994",9/26/2003 0:00:00,"OL",4.00,"Days",15.00,"C","A",
"Batch 14","MEC","EE","EPA 1994",10/7/2003 0:00:00,"BS",10.00,"Days",15.00,"C","A",
