"StationID","LabCode","SampleType","QABatch","SpeciesCode","Dilution","Concentration","EPCode","Units","StatisticalTest","Mean","N","StdDev","PctControl","SigEffect","QACode","Comment"
"0000","ABC","CNEG","1","EE",-99.00,-99.00,"SP","PERCENT","Not tested",100.00,5,0.00,100.00,"X","A",
"0000","ABC","CNEG","10","EE",-99.00,-99.00,"SP","PERCENT","Not tested",99.00,5,2.23,100.00,"X","A",
"0000","ABC","CNEG","4","EE",-99.00,-99.00,"SP","PERCENT","Not tested",100.00,5,0.00,100.00,"X","A",
"0000","ABC","CNEG","6","EE",-99.00,-99.00,"SP","PERCENT","Not tested",100.00,5,0.00,100.00,"X","A",
"0000","ABC","CNEG","8","EE",-99.00,-99.00,"SP","PERCENT","Not tested",100.00,5,0.00,100.00,"X","A",
"0000","ABC","RFCD","11","EE",-99.00,0.00,"SP","PERCENT","Not tested",96.66,3,5.77,100.00,"X","A",
"0000","ABC","RFCD","11","EE",-99.00,0.32,"SP","PERCENT","Not tested",93.33,3,5.77,96.55,"X","A",
"0000","ABC","RFCD","11","EE",-99.00,1.00,"SP","PERCENT","Not tested",80.00,3,17.32,82.75,"X","A",
"0000","ABC","RFCD","11","EE",-99.00,3.20,"SP","PERCENT","Not tested",53.33,3,15.27,55.17,"X","A",
"0000","ABC","RFCD","11","EE",-99.00,5.60,"SP","PERCENT","Not tested",6.66,3,11.54,6.89,"X","A",
"0000","ABC","RFCD","11","EE",-99.00,10.00,"SP","PERCENT","Not tested",0.00,3,0.00,0.00,"X","A",
"0000","ABC","RFCD","2","EE",-99.00,0.00,"SP","PERCENT","Not tested",100.00,3,0.00,100.00,"X","A",
"0000","ABC","RFCD","2","EE",-99.00,0.32,"SP","PERCENT","Not tested",100.00,3,0.00,100.00,"X","A",
"0000","ABC","RFCD","2","EE",-99.00,1.00,"SP","PERCENT","Not tested",90.00,3,10.00,90.00,"X","A",
"0000","ABC","RFCD","2","EE",-99.00,3.20,"SP","PERCENT","Not tested",90.00,3,10.00,90.00,"X","A",
"0000","ABC","RFCD","2","EE",-99.00,5.60,"SP","PERCENT","Not tested",60.00,3,10.00,60.00,"X","A",
"0000","ABC","RFCD","2","EE",-99.00,10.00,"SP","PERCENT","Not tested",26.66,3,5.77,26.66,"X","A",
"0000","ABC","RFCD","5","EE",-99.00,0.00,"SP","PERCENT","Not tested",100.00,3,0.00,100.00,"X","A",
"0000","ABC","RFCD","5","EE",-99.00,0.32,"SP","PERCENT","Not tested",100.00,3,0.00,100.00,"X","A",
"0000","ABC","RFCD","5","EE",-99.00,1.00,"SP","PERCENT","Not tested",96.66,3,5.77,96.66,"X","A",
"0000","ABC","RFCD","5","EE",-99.00,3.20,"SP","PERCENT","Not tested",43.33,3,15.27,43.33,"X","A",
"0000","ABC","RFCD","5","EE",-99.00,5.60,"SP","PERCENT","Not tested",36.66,3,5.77,36.66,"X","A",
"0000","ABC","RFCD","5","EE",-99.00,10.00,"SP","PERCENT","Not tested",0.00,3,0.00,0.00,"X","A",
